Timestamp	都道府県	災害救助法 適用	市町村名	電話対応を行った災害	その災害の名称はなんですか？（例：平成30年7月豪雨）	災害対策本部の運営業務全体のうち、電話への対応は全体の業務量のうち何％でしたか？	電話対応で最も長かった電話の時間は何分程度でしたか？	その内容はどのようなものでしたか？	電話対応の平均的な時間は何分程度でしたか？	電話回数は平常時と比較してどうですか？	安否確認	被害状況確認	被害状況報告	救助要請	避難所についての問い合わせ	ボランティアについての問い合わせ	支援物資についての問い合わせ	マスコミの問い合わせ	その他（複数記入可、各項目に０〜４の基準も付けてください）（例：〜の問い合わせ（２）、〜の問い合わせ（４））	電話に回答する際、その情報源はなんでしたか。（複数選択可）	有効だった情報源があれば教えてください。	電話に効率良く対応できたと思いますか？	電話対応の際、どのような問題に遭遇しましたか？（複数選択可）	電話対応が原因で業務への負荷を感じましたか。	電話で受ける情報をどう管理しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報を総合的にどう管理し、共有しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報管理する際に直面した問題はなんですか。（複数選択可）	自動音声認識は自治体で役に立つと思いますか？	自動音声認識システムを導入したいと思いますか？	「はい」以外を選択した場合、その理由はなんですか。	自動音声認識システムに欲しい機能はなんですか。	他に付け加えたい情報がございましたら、ご自由にお書きください。
						４１〜５０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				More												5	
						４１〜５０％				平常時より電話回数が多かった。		平常時より電話回数が多かった。	多かった。	多かった。	多かった。	多かった	多かった				Much More												5	
						４１〜５０％				平常時より電話回数が多かった。		平常時より電話回数が多かった。	多かった。	多かった。	多かった。	多かった	多かった				More												4	
						４１〜５０％				平常時と電話回数はほぼ同じだった。		平常時と電話回数はほぼ同じだった。	平常時と電話回数はほぼ同じだった。	平常時と電話回数はほぼ同じだった。	ほぼ同じだった。	ほぼ同じだった	ほぼ同じだった				More												5	
						４１〜５０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				As Usual												5	
						４１〜５０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				More												3	
						４１〜５０％				平常時と電話回数はほぼ同じだった。		平常時と電話回数はほぼ同じだった。	平常時と電話回数はほぼ同じだった。	平常時と電話回数はほぼ同じだった。	ほぼ同じだった。	ほぼ同じだった	ほぼ同じだった				More												4	
						５１〜６０％				平常時より電話回数が多かった。		平常時より電話回数が多かった。	多かった。	多かった。	多かった。	多かった	多かった				Much More												4	
						５１〜６０％				平常時より電話回数は少なかった。		少なかった。	少なかった。	少なかった。	少なかった。	少なかった	少なかった				Much More												5	
						５１〜６０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				More												5	
						５１〜６０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				As Usual												3	
						５１〜６０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				Much More												2	
						５１〜６０％				平常時より電話回数が極めて多かった。		平常時より電話回数が極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった。	極めて多かった	極めて多かった				Much More												2	
						５１〜６０％				平常時より電話回数が多かった。		平常時より電話回数が多かった。	多かった。	多かった。	多かった。	多かった	多かった				Much More												4	
						５１〜６０％															Much More												4	
						６１〜７０％				平常時より電話回数が多かった。		平常時より電話回数が多かった。	多かった。	多かった。	多かった。	多かった	多かった				Much More												5	
						６１〜７０％															More												5	
						６１〜７０％															More												4	
						６１〜７０％															As Usual													
						６１〜７０％															Much More												4	
						６１〜７０％															More												5	
						６１〜７０％																											5	
						６１〜７０％															Much More												4	
						７１〜８０％															Much More													
						７１〜８０％															Much More													
						７１〜８０％															Much More													
						７１〜８０％															Much More													
						７１〜８０％															More													
						８１〜９０％															More													
						９１〜１００％															As Usual													
						９１〜１００％															Much More													
																					Much More													
																					As Usual													
																					More													
																					Less													
																					Much More													
																					Much More													
																					Much More													
																					Much More													
																					More													
																																		
																					More													
																					More													
																					Much More													
																					More													
																					Much More													
																					Much More													
																					More													
						0															More													
																					Much More													
																					More													
																					Less													
																					More													
																					More													
																					As Usual													
																					Much More													
																					More													
																					Much More													
																					Much More													
																					More													
																					Much More													
																					As Usual													
																					More													
																					More													
																					Much More													
																					More													
																					Much More													
																					Much More													
																					Much More													
																					More													
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																情報担当に報告した					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																マスコミ対応だけなので共有していない					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																対策本部のホワイトボードに記入					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																ここでメモをしたまでに留まった					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																アナログ式とデジタル式の両方					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																印刷し供覧した。					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																住民からの問い合わせ、要請が主であり特に共有はしなかった					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																ホワイトボードに時系列で記載し、管理を行った。					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																関係者への情報提供など					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																アナログ、デジタル双方（デジタル入力＞印刷）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																共有なし。応対したら、終わり。					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																アナログ，デジタル併用					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																ホワイトボードに書き留め、皆と情報共有した。					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
																主に壁に紙を貼り、皆と情報共有した。（アナログ式）					主に壁に紙を貼り、皆と情報共有した。（アナログ式）													
5/20/2019 1:13:22	北海道	N	岩内町	豪雨	Ｈ３０.７月豪雨	６１〜７０％	10分程	報道会社からの電話で被害状況等	5分	平常時より電話回数が多かった。	0	4	2	2	3	0	0	4				1	防災担当なのに電話対応に追われた。詳しいことを聞かれると防災担当まですぐ電話を回される。	5	主にコンピューター端末に入力した。（デジタル式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）			3	どちらとも言えない。			
5/20/2019 1:15:17	兵庫県	N	加西市	豪雨	平成30年7月豪雨	１１〜２０％	10分	災害発生及び支援要請	5分	平常時より電話回数が極めて多かった。	0	3	3	0	1	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	情報不足だった。, 情報の信憑性が確かではなかった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル作成	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 1:17:40	愛知県	N	知立市	台風	平成30年台風21,24号	４１〜５０％	数分程度	被害連絡	１～２分程度	平常時と電話回数はほぼ同じだった。	0	2	3	0	2	1	0	2		情報収集を目的として人員を現地に派遣した。		3	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 1:24:19	愛知県	N	田原市	台風	平成３０年台風１２号、２１号、２４号	２１〜３０％	２０分	長期化した停電の状況について	５分	平常時より電話回数が極めて多かった。	0	0	3	3	3	0	0	4	停電の問い合わせ（極めて多い）	関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。, 中部電力ホームページ		1	情報不足だった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	1	どちらとも言えない。			
5/20/2019 1:31:56	大阪府	N	堺市	台風	平成30年台風21号	３１〜４０％	120分	停電に関する苦情	3	平常時より電話回数が極めて多かった。	0	4	4	1	3	1	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル、本市防災情報システム	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル、本市防災情報システム	他の関係者と情報共有が中々うまくできなかった。	4	どちらとも言えない。			
5/20/2019 1:36:52	愛媛県	N	内子町	豪雨	平成30年7月豪雨	１１〜２０％	10分	苦情	2分程度	平常時より電話回数が極めて多かった。	1	1	3	2	3	1	2	2		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	3	主にコンピューター端末に入力した。（デジタル式）	独自システム	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。	情報不足		
5/20/2019 1:36:59	山形県	Y	最上町	豪雨	平成30年8月庄内・最上豪雨	５１〜６０％	30分	避難所の開設、運営について(クレーム）	５～６分程度	平常時より電話回数が極めて多かった。	1	3	3	0	3	0	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。, マスコミ対応で住民からの問い合わせに支障をきたす時があった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	はい、積極的に導入したい。			
5/20/2019 1:37:38	群馬県	N	みどり市	豪雨	平成30年8月10日「警報」大雨(土砂災害)	１１〜２０％	5分程度	自主避難所の開設に伴う行政区長との調整	2分程度	平常時より電話回数が多かった。	0	2	3	0	2	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	全て	3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 1:55:10	北海道	Y	美唄市	地震	北海道胆振東部地震	６１〜７０％	20分	市の対応に対する苦情	1分	平常時より電話回数が極めて多かった。	1	4	1	0	2	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		4	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	5	どちらとも言えない。	システムとしては非常に導入したいが、費用が問題である。		
5/20/2019 2:01:03	大阪府	N	羽曳野市	台風	平成30年台風21号	３１〜４０％	30	停電について	3	平常時より電話回数が極めて多かった。	1	4	4	1	3	2	2	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 2:04:09	岩手県	N	奥州市	豪雨	大雨、洪水警報等発表による災害	１１〜２０％	５分程度	新聞記者からの被害状況の問い合わせ、市民からの避難情報収集方法の問い合わせ	３分程度	平常時より電話回数が多かった。	0	4	2	0	1	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 情報の信憑性が確かではなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	市の独自システム	重複、信頼性	3	どちらとも言えない。	システムの信頼性		
5/20/2019 2:04:42	福島県	N	磐梯町	地震	平成23年東北地方太平洋沖地震	２１〜３０％	5分	県との連絡調整	3分	平常時より電話回数は極めて少なかった。	1	2	4	0	4	2	2	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。	報道	1	デジタル回線が寸断された	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。	3	どちらとも言えない。	現時点で判断できない	耐災害性	
5/20/2019 2:22:45	長崎県	N	五島市	台風	平成３０年台風７号	０〜１０％	５分程度	停電に対する苦情	１分程度	平常時より電話回数が多かった。	0	0	0	0	2	0	0	2	停電の問い合わせ（４）	電力会社のホームページ		3	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。	効果が未知数。		
5/20/2019 2:33:02	愛知県	N	豊根村役場	台風	平成30年台風２４号	２１〜３０％	10分	マスコミからの被害状況の確認	3分～10分	平常時より電話回数が極めて多かった。	3	3	3	0	0	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 住民からの報告	住民からの報告	4	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	愛知県高度情報ネットワーク	特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 2:36:25	宮城県	N	石巻市	台風	平成30年　台風13号	０〜１０％	1分	冠水情報	1分（1回のみ）	平常時より電話回数は少なかった。	0	0	2	0	0	0	0	0		回答を求める電話ではなかった		3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		情報担当に報告した		特に大した問題はなかった。	4	どちらとも言えない。	具体的な機能やコスト等の情報がなければ判断できないため	なまり、方言への対応（難しいとは思うが…）	
5/20/2019 2:46:00	鹿児島県	N	中種子町	豪雨	令和元年５月１８日　豪雨	０〜１０％	２分	マスコミからの被害調査	３０秒	平常時より電話回数が多かった。	0	0	2	0	0	0	0	3		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	3	主に紙に書き留めた。（アナログ式）		マスコミ対応だけなので共有していない		特に大した問題はなかった。	1	いいえ、導入したくない。			
5/20/2019 2:54:59	北海道	Y	幌加内町	地震	北海道胆振東部地震	２１〜３０％	５分	災害状況報告	2分	平常時より電話回数が多かった。	2	2	2	0	1	0	1	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。	システムの性能を把握していない		
5/20/2019 3:27:31	青森県	N	田舎館村	豪雨	平成25年台風18号による大雨被害	０〜１０％	5分	現場の消防団員との河川増水への対応についてのやりとり	3分	平常時より電話回数が極めて多かった。	0	4	4	0	2	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	情報不足だった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	対策本部のホワイトボードに記入		情報量が多すぎて混乱してしまった。	2	どちらとも言えない。	方言や訛りがあってもテキスト化されるか？		
5/20/2019 3:37:38	岡山県	N	備前市	豪雨	平成３０年７月豪雨	４１〜５０％	約１時間	住家付近のため池が決壊した場合の対応について	１５分	平常時より電話回数が極めて多かった。	0	2	2	0	1	0	0	0		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	気象台からの情報	3	個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 3:54:07	石川県	N	かほく市	台風	台風２１号	３１〜４０％	15分程度		5分程度	平常時より電話回数が多かった。	0	3	3	0	2	0	0	3		ウェブ（例：内閣府のウェブページ）から情報を探した。		3	個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル	他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 4:06:30	北海道	N	根室市	高潮	平成26年12月根室高潮	２１〜３０％				平常時より電話回数が極めて多かった。	0	1	3	2	3	0	1	4		災害対策本部で共有していた情報	現地確認	3	マスコミからの電話本数が非常に多く、その対応に人員を取られた	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 4:21:48	東京都		青ヶ島村	台風	記録なし	０〜１０％	数分	状況調査	数分	平常時より電話回数は極めて少なかった。	0	0	0	0	1	0	0	0		情報収集を目的として人員を現地に派遣した。		3	特に大した問題はなかった。	1	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	2	どちらとも言えない。	物を見ないと何とも言えない		
